City_ID,City,Country,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
306,Tutoia,BR,broken clouds,76.86,90,73,10.98,-2.7619,-42.2744
307,Krk,HR,scattered clouds,73.06,73,39,6.08,45.0258,14.5731
308,Tahe,CN,moderate rain,70.66,92,99,4.97,52.3333,124.7333
309,Valdosta,US,clear sky,76.91,95,0,5.75,30.8327,-83.2785
310,Taga,RO,overcast clouds,57.52,57,100,4.32,46.95,24.05
311,Ranfurly,NZ,overcast clouds,39.11,94,100,9.53,-45.1333,170.1
312,Sioux Lookout,CA,clear sky,55.47,100,0,4.61,50.1001,-91.917
313,Simpang,ID,overcast clouds,77.68,91,100,0.85,-1.2667,104.0833
314,Lakes Entrance,AU,broken clouds,52.16,78,59,8.99,-37.8811,147.981
315,Bubaque,GW,light rain,80.13,82,52,9.71,11.2833,-15.8333
316,Vila Velha,BR,clear sky,69.94,86,0,4.61,-20.3297,-40.2925
317,Klaksvik,FO,light rain,50.92,91,100,13.27,62.2266,-6.589
318,Gap,FR,clear sky,58.39,54,1,1.99,44.6667,6.0
319,Merauke,ID,overcast clouds,79.36,76,98,17.2,-8.4667,140.3333
320,Jiangyou,CN,moderate rain,77.41,91,100,6.13,31.7667,104.7167
321,Oktyabrskiy,RU,clear sky,82.47,60,7,6.11,54.4815,53.471
322,Visnes,NO,light rain,55.45,88,75,5.75,59.3556,5.2242
323,Rio Grande,BR,clear sky,35.94,82,1,4.68,-32.035,-52.0986
324,Alugan,PH,overcast clouds,85.84,70,86,7.54,12.2188,125.4808
325,Mildura,AU,clear sky,56.07,59,1,15.82,-34.2,142.15
326,Bonoua,CI,light rain,74.82,89,100,4.74,5.2741,-3.595
327,Lavrentiya,RU,overcast clouds,53.74,71,99,4.97,65.5833,-171.0
328,Abha,SA,broken clouds,68.25,49,75,6.91,18.2164,42.5053
329,Maldonado,UY,clear sky,39.22,84,2,5.84,-34.6667,-54.9167
330,Lashio,MM,scattered clouds,89.42,51,32,2.53,22.9333,97.75
331,Kedrovyy,RU,light rain,55.87,61,70,7.16,56.1667,91.8167
332,Maningrida,AU,broken clouds,84.22,28,65,7.29,-12.0667,134.2667
333,Borovoy,RU,clear sky,63.68,42,0,8.95,55.4333,86.0833
334,Fairbanks,US,smoke,77.0,49,40,8.05,64.8378,-147.7164
335,Tarakan,ID,light rain,80.1,89,75,3.44,3.3,117.6333
336,Seoul,KR,heavy intensity rain,74.8,97,100,16.11,37.5683,126.9778
337,Inuvik,CA,smoke,47.26,90,100,5.75,68.3499,-133.7218
338,Ouesso,CG,overcast clouds,74.01,78,93,1.72,1.6136,16.0517
339,The Valley,AI,overcast clouds,82.09,80,100,18.19,18.217,-63.0578
340,Nyurba,RU,light rain,75.18,55,77,3.53,63.2842,118.3319
341,Niksic,ME,clear sky,67.86,48,4,6.11,42.7731,18.9445
342,Asau,RO,overcast clouds,65.32,49,85,12.33,46.4333,26.4
343,Bambous Virieux,MU,light rain,75.22,73,40,13.8,-20.3428,57.7575
344,Paraiso,CR,overcast clouds,66.88,100,100,1.34,9.8383,-83.8656
345,Bure,ET,light rain,57.49,96,99,1.3,10.7,37.0667
346,Portland,US,few clouds,69.78,64,20,11.5,45.5234,-122.6762
347,Ca Mau,VN,moderate rain,79.66,83,100,17.22,9.1769,105.15
