City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Manjacaze,MZ,2022-05-26 02:31:04,-24.7117,33.8828,62.08,93,0,4.9
172,Maralal,KE,2022-05-26 02:31:05,1.0968,36.698,56.35,88,98,1.57
173,Husavik,IS,2022-05-26 02:31:05,66.0449,-17.3389,41.74,97,100,11.1
174,Mitchell,US,2022-05-26 02:31:06,43.7094,-98.0298,55.38,71,20,10.36
175,Reitz,ZA,2022-05-26 02:31:06,-27.8014,28.4273,46.99,61,0,5.68
176,Castro,BR,2022-05-26 02:31:06,-24.7911,-50.0119,53.33,79,0,3.85
177,Kamiiso,JP,2022-05-26 02:32:07,41.8167,140.65,59.38,82,75,5.75
178,Viedma,AR,2022-05-26 02:32:07,-40.8135,-62.9967,38.95,60,0,7.14
179,Safaga,EG,2022-05-26 02:32:07,26.7292,33.9365,80.31,38,0,13.0
180,Waterloo,CA,2022-05-26 02:32:08,43.4668,-80.5164,57.78,92,100,12.66
181,Longyearbyen,SJ,2022-05-26 02:32:08,78.2186,15.6401,37.24,87,75,5.75
182,Port Elizabeth,ZA,2022-05-26 02:32:09,-33.918,25.5701,61.11,88,75,10.36
183,Miri,MY,2022-05-26 02:32:09,4.4148,114.0089,86.14,79,40,5.75
184,Atuona,PF,2022-05-26 02:32:09,-9.8,-139.0333,78.84,73,9,18.54
185,Humaita,BR,2022-05-26 02:32:10,-7.5061,-63.0208,75.79,82,77,1.77
186,Preobrazheniye,RU,2022-05-26 02:32:10,42.9019,133.9064,50.79,98,100,15.79
187,Bontang,ID,2022-05-26 02:32:10,0.1333,117.5,78.55,88,100,10.83
188,Bridlington,GB,2022-05-26 02:32:11,54.0831,-0.1919,51.15,84,65,16.46
189,Zhanaozen,KZ,2022-05-26 02:32:11,43.3,52.8,58.53,46,44,5.7
190,Sungaipenuh,ID,2022-05-26 02:32:12,-2.0833,101.3833,78.73,48,96,2.3
191,Chapais,CA,2022-05-26 02:32:12,49.7834,-74.8492,51.58,75,100,4.99
192,Singaraja,ID,2022-05-26 02:32:12,-8.112,115.0882,84.33,76,100,2.8
193,Ahipara,NZ,2022-05-26 02:32:13,-35.1667,173.1667,62.01,62,28,7.9
194,Hami,CN,2022-05-26 02:32:13,42.8,93.45,89.02,8,100,12.03
195,Bengkulu,ID,2022-05-26 02:32:13,-3.8004,102.2655,82.83,62,97,3.56
196,Pevek,RU,2022-05-26 02:32:14,69.7008,170.3133,32.23,87,97,9.19
197,Acarau,BR,2022-05-26 02:32:02,-2.8856,-40.12,75.69,89,2,9.8
198,Riyadh,SA,2022-05-26 02:27:16,24.6877,46.7219,80.74,21,0,6.13
199,Porto Walter,BR,2022-05-26 02:32:15,-8.2686,-72.7439,70.95,98,74,1.16
200,Akyab,MM,2022-05-26 02:32:15,20.15,92.9,84.69,71,23,1.88
201,Olkhovatka,RU,2022-05-26 02:32:15,50.2831,39.2872,50.83,87,22,6.11
202,Bida,NG,2022-05-26 02:32:16,9.0833,6.0167,75.52,82,4,3.56
203,Tiznit,MA,2022-05-26 02:32:16,29.5833,-9.5,63.95,60,92,1.05
204,Bhaderwah,IN,2022-05-26 02:32:18,32.9784,75.7186,69.55,64,0,1.63
205,Vila Velha,BR,2022-05-26 02:32:18,-20.3297,-40.2925,68.95,93,75,0.0
206,Beira,MZ,2022-05-26 02:32:19,-19.8436,34.8389,62.69,100,0,5.75
207,Inuvik,CA,2022-05-26 02:29:17,68.3499,-133.7218,58.06,30,75,4.61
208,Whitianga,NZ,2022-05-26 02:32:19,-36.8333,175.7,59.5,74,26,5.35
209,Swan Hill,AU,2022-05-26 02:32:20,-35.3378,143.5544,64.38,71,95,5.88
210,Inhambane,MZ,2022-05-26 02:32:20,-23.865,35.3833,66.36,90,0,4.05
211,Mercedes,AR,2022-05-26 02:32:20,-34.6515,-59.4307,42.78,86,48,7.14
212,Hargeysa,SO,2022-05-26 02:32:21,9.56,44.065,70.57,67,100,18.88
213,Olafsvik,IS,2022-05-26 02:32:21,64.8945,-23.7142,41.95,82,87,10.83
214,Hervey Bay,AU,2022-05-26 02:32:21,-25.2986,152.8535,74.01,78,13,5.99
215,Abu Kamal,SY,2022-05-26 02:32:22,34.4506,40.9171,73.42,24,0,6.04
216,Pisco,PE,2022-05-26 02:32:22,-13.7,-76.2167,62.65,82,40,0.0
217,Sobolevo,RU,2022-05-26 02:32:23,54.4299,31.8996,49.89,87,85,6.49
218,Maiduguri,NG,2022-05-26 02:32:23,11.8464,13.1603,80.87,51,32,7.2
219,La Plaine,DM,2022-05-26 02:32:24,15.3333,-61.25,77.72,84,97,10.56
220,Masty,BY,2022-05-26 02:33:24,53.4122,24.5387,45.79,98,40,7.2
221,Trelew,AR,2022-05-26 02:33:24,-43.249,-65.3051,39.67,39,0,5.28
222,Jiaonan,CN,2022-05-26 02:33:25,35.8786,119.9753,75.83,31,59,10.94
223,Ambovombe,MG,2022-05-26 02:33:25,-25.1667,46.0833,66.33,93,1,4.54
224,Naze,JP,2022-05-26 02:33:25,28.3667,129.4833,76.12,78,82,9.24
225,Yulara,AU,2022-05-26 02:33:26,-25.2406,130.9889,72.19,38,5,11.5
226,Tezu,IN,2022-05-26 02:33:26,27.9167,96.1667,75.15,98,100,0.72
227,Griffith,US,2022-05-26 02:33:26,41.5284,-87.4237,72.37,83,40,11.5
228,Palampur,IN,2022-05-26 02:29:37,32.1167,76.5333,71.33,46,3,1.92
229,Costinesti,RO,2022-05-26 02:33:27,43.95,28.6333,56.44,86,43,13.89
230,Pierre,US,2022-05-26 02:33:27,44.3683,-100.351,59.92,85,0,10.0
231,Port Hedland,AU,2022-05-26 02:33:28,-20.3167,118.5667,84.25,32,21,11.5
232,Pangnirtung,CA,2022-05-26 02:33:28,66.1451,-65.7125,7.05,96,96,7.74
233,Mahebourg,MU,2022-05-26 02:33:28,-20.4081,57.7,70.25,88,40,3.44
234,Songjianghe,CN,2022-05-26 02:33:29,42.1859,127.479,47.48,78,100,8.41
235,Zhigansk,RU,2022-05-26 02:33:29,66.7697,123.3711,37.11,63,76,24.27
236,Kargopol,RU,2022-05-26 02:33:30,61.5071,38.9456,39.11,84,62,7.02
237,Udachnyy,RU,2022-05-26 02:33:30,66.4167,112.4,34.41,62,100,15.5
238,Flin Flon,CA,2022-05-26 02:33:30,54.7682,-101.865,51.6,88,100,3.18
239,At-Bashi,KG,2022-05-26 02:33:31,41.1702,75.8106,61.77,39,5,1.59
240,La Ronge,CA,2022-05-26 02:33:31,55.1001,-105.2842,61.05,44,100,8.05
241,Maple Creek,CA,2022-05-26 02:33:31,49.9168,-109.4848,64.81,34,52,4.61
242,Watsa,CD,2022-05-26 02:33:32,3.0372,29.5355,61.54,98,100,2.01
243,Solnechnyy,RU,2022-05-26 02:33:32,50.7214,136.6319,71.15,36,51,7.31
244,Torbay,CA,2022-05-26 02:33:32,47.6666,-52.7314,40.26,76,0,12.66
